exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,25.00,1.00,-25.00,-1.00,"2020-06-01 09:05:20","2020-06-01 09:23:44",00:18:24,15,15,0,0,0,0,0
2,30.00,1.00,-30.00,-1.00,"2020-06-01 09:25:16","2020-06-01 09:44:11",00:18:55,15,15,0,0,0,0,0
3,35.00,1.00,-35.00,-1.00,"2020-06-01 09:46:18","2020-06-01 10:04:42",00:18:24,15,15,0,0,0,0,0
4,40.00,1.00,-40.00,-1.00,"2020-06-01 10:06:48","2020-06-01 10:25:12",00:18:24,15,15,0,0,0,0,0
5,45.00,1.00,-45.00,-1.00,"2020-06-01 10:27:19","2020-06-01 10:45:42",00:18:23,15,15,0,0,0,0,0
6,50.00,1.00,-50.00,-1.00,"2020-06-01 10:47:13","2020-06-01 11:05:43",00:18:30,15,15,0,0,0,0,0
7,5.00,1.00,-1.00,-5.00,"2020-06-01 11:07:14","2020-06-01 11:26:05",00:18:51,15,15,0,0,0,0,0
8,10.00,1.00,-1.00,-10.00,"2020-06-01 11:28:12","2020-06-01 11:47:08",00:18:56,15,15,0,0,0,0,0
9,15.00,1.00,-1.00,-15.00,"2020-06-01 11:49:17","2020-06-01 12:07:45",00:18:28,15,15,0,0,0,0,0
10,20.00,1.00,-1.00,-20.00,"2020-06-01 12:09:17","2020-06-01 12:27:41",00:18:24,15,15,0,0,0,0,0
11,25.00,1.00,-1.00,-25.00,"2020-06-01 12:29:14","2020-06-01 12:47:37",00:18:23,15,15,0,0,0,0,0
12,30.00,1.00,-1.00,-30.00,"2020-06-01 12:49:47","2020-06-01 13:08:36",00:18:49,15,15,0,0,0,0,0
13,35.00,1.00,-1.00,-35.00,"2020-06-01 13:10:43","2020-06-01 13:29:10",00:18:27,15,15,0,0,0,0,0
14,40.00,1.00,-1.00,-40.00,"2020-06-01 13:31:16","2020-06-01 13:50:13",00:18:57,15,15,0,0,0,0,0
15,45.00,1.00,-1.00,-45.00,"2020-06-01 13:52:21","2020-06-01 14:11:24",00:19:03,15,15,0,0,0,0,0
16,50.00,1.00,-1.00,-50.00,"2020-06-01 14:13:31","2020-06-01 14:32:38",00:19:07,15,15,0,0,0,0,0
17,1.00,5.00,-5.00,-1.00,"2020-06-01 14:34:45","2020-06-01 14:53:44",00:18:59,15,15,0,0,0,0,0
18,1.00,10.00,-10.00,-1.00,"2020-06-01 14:55:48","2020-06-01 15:14:44",00:18:56,15,15,0,0,0,0,0
19,1.00,15.00,-15.00,-1.00,"2020-06-01 15:16:50","2020-06-01 15:35:29",00:18:39,15,15,0,0,0,0,0
20,1.00,20.00,-20.00,-1.00,"2020-06-01 15:37:35","2020-06-01 15:56:00",00:18:25,15,15,0,0,0,0,0
21,1.00,25.00,-25.00,-1.00,"2020-06-01 15:58:05","2020-06-01 16:04:28",00:06:23,15,4,8,0,3,0,0
22,1.00,30.00,-30.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,1.00,35.00,-35.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,1.00,40.00,-40.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,1.00,45.00,-45.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1.00,50.00,-50.00,-1.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,1.00,5.00,-1.00,-5.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,1.00,10.00,-1.00,-10.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,1.00,15.00,-1.00,-15.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,1.00,20.00,-1.00,-20.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
