exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun,,,"-- 1 weight, value 20 -100, 1 task per 30s "
1,20,1,-1,-1,2020-06-01 09:05:30,2020-06-01 09:14:56,00:09:26,15,10,5,0,0,0,0,,,
2,40,1,-1,-1,2020-06-01 09:17:30,2020-06-01 09:27:18,00:09:48,15,10,5,0,0,0,0,,,
3,60,1,-1,-1,2020-06-01 09:29:19,2020-06-01 09:39:09,00:09:50,15,10,5,0,0,0,0,,,
4,80,1,-1,-1,2020-06-01 09:41:10,2020-06-01 09:50:57,00:09:47,15,10,5,0,0,0,0,,,
5,100,1,-1,-1,2020-06-01 09:52:57,2020-06-01 10:02:03,00:09:06,15,10,5,0,0,0,0,,,
6,1,20,-1,-1,2020-06-01 10:03:46,2020-06-01 10:13:34,00:09:48,15,10,5,0,0,0,0,,,
7,1,40,-1,-1,2020-06-01 10:15:33,2020-06-01 10:25:11,00:09:38,15,9,5,0,0,0,1,,,
8,1,60,-1,-1,2020-06-01 10:27:16,2020-06-01 10:37:25,00:10:09,15,10,5,0,0,0,0,,,
9,1,80,-1,-1,2020-06-01 10:39:24,2020-06-01 10:49:10,00:09:46,15,10,5,0,0,0,0,,,
10,1,100,-1,-1,2020-06-01 10:51:01,2020-06-01 11:01:02,00:10:01,15,10,5,0,0,0,0,,,
11,1,1,-20,-1,2020-06-01 11:03:01,2020-06-01 11:12:49,00:09:48,15,10,5,0,0,0,0,,,
12,1,1,-40,-1,2020-06-01 11:14:49,2020-06-01 11:24:39,00:09:50,15,10,5,0,0,0,0,,,
13,1,1,-60,-1,2020-06-01 11:26:41,2020-06-01 11:37:05,00:10:24,15,10,5,0,0,0,0,,,
14,1,1,-80,-1,2020-06-01 11:39:17,2020-06-01 11:49:05,00:09:48,15,10,5,0,0,0,0,,,
15,1,1,-100,-1,2020-06-01 11:51:06,2020-06-01 12:00:41,00:09:35,15,10,5,0,0,0,0,,,
16,1,1,-1,-20,2020-06-01 12:02:49,2020-06-01 12:13:11,00:10:22,15,10,5,0,0,0,0,,,
17,1,1,-1,-40,2020-06-01 12:15:18,2020-06-01 12:25:20,00:10:02,15,10,5,0,0,0,0,,,
18,1,1,-1,-60,2020-06-01 12:27:21,2020-06-01 12:37:09,00:09:48,15,10,5,0,0,0,0,,,
19,1,1,-1,-80,2020-06-01 12:39:10,2020-06-01 12:49:01,00:09:51,15,10,5,0,0,0,0,,,
