exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,1.00,1.00,-1.00,-1.00,"2020-06-01 09:05:31","2020-06-01 09:15:07",00:09:36,15,10,5,0,0,0,0
2,5.00,1.00,-1.00,-1.00,"2020-06-01 09:16:55","2020-06-01 09:26:44",00:09:49,15,10,5,0,0,0,0
3,10.00,1.00,-1.00,-1.00,"2020-06-01 09:28:43","2020-06-01 09:38:32",00:09:49,15,10,5,0,0,0,0
4,15.00,1.00,-1.00,-1.00,"2020-06-01 09:40:34","2020-06-01 09:50:36",00:10:02,15,10,5,0,0,0,0
5,20.00,1.00,-1.00,-1.00,"2020-06-01 09:52:39","2020-06-01 10:02:06",00:09:27,15,8,6,0,0,0,1
6,25.00,1.00,-1.00,-1.00,"2020-06-01 10:04:11","2020-06-01 10:13:50",00:09:39,15,10,5,0,0,0,0
7,30.00,1.00,-1.00,-1.00,"2020-06-01 10:15:51","2020-06-01 10:25:40",00:09:49,15,10,5,0,0,0,0
8,35.00,1.00,-1.00,-1.00,"2020-06-01 10:27:43","2020-06-01 10:37:31",00:09:48,15,10,5,0,0,0,0
9,40.00,1.00,-1.00,-1.00,"2020-06-01 10:39:35","2020-06-01 10:48:41",00:09:06,15,10,5,0,0,0,0
10,45.00,1.00,-1.00,-1.00,"2020-06-01 10:50:24","2020-06-01 10:59:37",00:09:13,15,10,5,0,0,0,0
11,50.00,1.00,-1.00,-1.00,"2020-06-01 11:01:13","2020-06-01 11:12:01",00:10:48,15,10,5,0,0,0,0
12,1.00,5.00,-1.00,-1.00,"2020-06-01 11:13:48","2020-06-01 11:23:54",00:10:06,15,9,4,0,0,0,2
13,1.00,10.00,-1.00,-1.00,"2020-06-01 11:25:21","2020-06-01 11:34:27",00:09:06,15,10,5,0,0,0,0
14,1.00,15.00,-1.00,-1.00,"2020-06-01 11:36:10","2020-06-01 11:45:59",00:09:49,15,10,5,0,0,0,0
15,1.00,20.00,-1.00,-1.00,"2020-06-01 11:47:57","2020-06-01 11:57:46",00:09:49,15,10,5,0,0,0,0
16,1.00,25.00,-1.00,-1.00,"2020-06-01 11:59:49","2020-06-01 12:08:54",00:09:05,15,10,5,0,0,0,0
17,1.00,30.00,-1.00,-1.00,"2020-06-01 12:10:38","2020-06-01 12:20:59",00:10:21,15,9,5,0,0,0,1
18,1.00,35.00,-1.00,-1.00,"2020-06-01 12:23:13","2020-06-01 12:33:54",00:10:41,15,10,5,0,0,0,0
19,1.00,40.00,-1.00,-1.00,"2020-06-01 12:35:23","2020-06-01 12:45:11",00:09:48,15,10,5,0,0,0,0
20,1.00,45.00,-1.00,-1.00,"2020-06-01 12:47:14","2020-06-01 12:56:45",00:09:31,15,10,5,0,0,0,0
21,1.00,50.00,-1.00,-1.00,"2020-06-01 12:58:21","2020-06-01 13:08:10",00:09:49,15,10,5,0,0,0,0
22,1.00,1.00,-5.00,-1.00,"2020-06-01 13:10:11","2020-06-01 13:19:59",00:09:48,15,10,5,0,0,0,0
23,1.00,1.00,-10.00,-1.00,"2020-06-01 13:21:59","2020-06-01 13:31:49",00:09:50,15,10,5,0,0,0,0
24,1.00,1.00,-15.00,-1.00,"2020-06-01 13:33:52","2020-06-01 13:42:59",00:09:07,15,10,5,0,0,0,0
25,1.00,1.00,-20.00,-1.00,"2020-06-01 13:44:48","2020-06-01 13:53:55",00:09:07,15,10,5,0,0,0,0
26,1.00,1.00,-25.00,-1.00,"2020-06-01 13:55:37","2020-06-01 14:05:26",00:09:49,15,10,5,0,0,0,0
27,1.00,1.00,-30.00,-1.00,"2020-06-01 14:07:26","2020-06-01 14:16:31",00:09:05,15,10,5,0,0,0,0
28,1.00,1.00,-35.00,-1.00,"2020-06-01 14:18:24","2020-06-01 14:28:03",00:09:39,15,10,5,0,0,0,0
29,1.00,1.00,-40.00,-1.00,"2020-06-01 14:30:08","2020-06-01 14:39:58",00:09:50,15,10,5,0,0,0,0
30,1.00,1.00,-45.00,-1.00,"2020-06-01 14:42:04","2020-06-01 14:51:53",00:09:49,15,10,5,0,0,0,0
31,1.00,1.00,-50.00,-1.00,"2020-06-01 14:53:57","2020-06-01 15:03:45",00:09:48,15,9,6,0,0,0,0
32,1.00,1.00,-1.00,-5.00,"2020-06-01 15:05:44","2020-06-01 15:15:33",00:09:49,15,10,5,0,0,0,0
33,1.00,1.00,-1.00,-10.00,"2020-06-01 15:17:31","2020-06-01 15:27:24",00:09:53,15,7,8,0,0,0,0
34,1.00,1.00,-1.00,-15.00,"2020-06-01 15:28:39","2020-06-01 15:38:28",00:09:49,15,10,5,0,0,0,0
35,1.00,1.00,-1.00,-20.00,"2020-06-01 15:40:27","2020-06-01 15:49:40",00:09:13,15,10,5,0,0,0,0
36,1.00,1.00,-25.00,-1.00,"2020-06-01 15:51:14","2020-06-01 16:00:57",00:09:43,15,9,6,0,0,0,0
37,1.00,1.00,-30.00,-1.00,"2020-06-01 16:02:55","2020-06-01 16:12:04",00:09:09,15,10,5,0,0,0,0
38,1.00,1.00,-35.00,-1.00,"2020-06-01 16:13:44","2020-06-01 16:23:34",00:09:50,15,10,5,0,0,0,0
39,1.00,1.00,-40.00,-1.00,"2020-06-01 16:25:36","2020-06-01 16:35:25",00:09:49,15,10,5,0,0,0,0
40,1.00,1.00,-45.00,-1.00,"2020-06-01 16:37:24","2020-06-01 16:47:26",00:10:02,15,10,5,0,0,0,0
