exp_id,wt_btr,wt_wait,wt_psb,wt_pri,start_time,finish_time,duration,total,completed,expired,canceled,running,err,to_rerun
1,1.00,1.00,-40.00,-40.00,"2020-06-01 09:06:34","2020-06-01 09:20:05",00:13:31,15,12,3,0,0,0,0
2,1.00,1.00,-45.00,-45.00,"2020-06-01 09:21:42","2020-06-01 09:33:18",00:11:36,15,12,3,0,0,0,0
3,1.00,1.00,-50.00,-50.00,"2020-06-01 09:35:50","2020-06-01 09:47:27",00:11:37,15,12,3,0,0,0,0
4,5.00,5.00,-5.00,-1.00,"2020-06-01 09:50:32","2020-06-01 10:04:17",00:13:45,15,12,3,0,0,0,0
5,10.00,10.00,-10.00,-1.00,"2020-06-01 10:06:03","2020-06-01 10:17:51",00:11:48,15,12,3,0,0,0,0
6,15.00,15.00,-15.00,-1.00,"2020-06-01 10:20:23","2020-06-01 10:32:01",00:11:38,15,12,3,0,0,0,0
7,20.00,20.00,-20.00,-1.00,"2020-06-01 10:34:22","2020-06-01 10:46:48",00:12:26,15,11,4,0,0,0,0
8,25.00,25.00,-25.00,-1.00,"2020-06-01 10:48:59","2020-06-01 11:01:26",00:12:27,15,11,4,0,0,0,0
9,30.00,30.00,-30.00,-1.00,"2020-06-01 11:03:32","2020-06-01 11:15:56",00:12:24,15,11,4,0,0,0,0
10,35.00,35.00,-35.00,-1.00,"2020-06-01 11:18:33","2020-06-01 11:32:50",00:14:17,15,12,3,0,0,0,0
11,40.00,40.00,-40.00,-1.00,"2020-06-01 11:34:19","2020-06-01 11:46:45",00:12:26,15,11,4,0,0,0,0
12,45.00,45.00,-45.00,-1.00,"2020-06-01 11:48:53","2020-06-01 12:01:19",00:12:26,15,11,4,0,0,0,0
13,50.00,50.00,-50.00,-1.00,"2020-06-01 12:03:53","2020-06-01 12:15:28",00:11:35,15,12,3,0,0,0,0
14,5.00,1.00,-5.00,-5.00,"2020-06-01 12:17:50","2020-06-01 12:30:17",00:12:27,15,11,4,0,0,0,0
15,10.00,1.00,-10.00,-10.00,"2020-06-01 12:32:53","2020-06-01 12:45:32",00:12:39,15,11,4,0,0,0,0
16,15.00,1.00,-15.00,-15.00,"2020-06-01 12:47:06","2020-06-01 12:59:31",00:12:25,15,11,4,0,0,0,0
17,20.00,1.00,-20.00,-20.00,"2020-06-01 13:02:07","2020-06-01 13:13:55",00:11:48,15,12,3,0,0,0,0
18,25.00,1.00,-25.00,-25.00,"2020-06-01 13:16:36","2020-06-01 13:30:50",00:14:14,15,12,3,0,0,0,0
19,30.00,1.00,-30.00,-30.00,"2020-06-01 13:32:36","2020-06-01 13:44:12",00:11:36,15,12,3,0,0,0,0
20,35.00,1.00,-35.00,-35.00,"2020-06-01 13:46:34","2020-06-01 14:00:08",00:13:34,15,11,4,0,0,0,0
21,40.00,1.00,-40.00,-40.00,"2020-06-01 14:01:37","2020-06-01 14:14:02",00:12:25,15,11,4,0,0,0,0
22,45.00,1.00,-45.00,-45.00,"2020-06-01 14:16:38","2020-06-01 14:28:27",00:11:49,15,12,3,0,0,0,0
23,50.00,1.00,-50.00,-50.00,"2020-06-01 14:31:00","2020-06-01 14:45:39",00:14:39,15,12,3,0,0,0,0
24,5.00,5.00,-1.00,-5.00,"2020-06-01 14:47:10","2020-06-01 15:00:44",00:13:34,15,11,4,0,0,0,0
25,10.00,10.00,-1.00,-10.00,"2020-06-01 15:02:10","2020-06-01 15:13:58",00:11:48,15,12,3,0,0,0,0
26,15.00,15.00,-1.00,-15.00,"2020-06-01 15:16:31","2020-06-01 15:28:07",00:11:36,15,12,3,0,0,0,0
27,20.00,20.00,-1.00,-20.00,"2020-06-01 15:30:28","2020-06-01 15:42:54",00:12:26,15,11,4,0,0,0,0
28,25.00,25.00,-1.00,-25.00,"2020-06-01 15:45:01","2020-06-01 15:56:50",00:11:49,15,12,3,0,0,0,0
29,30.00,30.00,-1.00,-30.00,"2020-06-01 15:59:22","2020-06-01 16:11:47",00:12:25,15,11,4,0,0,0,0
30,35.00,35.00,-1.00,-35.00,"2020-06-01 16:14:22","2020-06-01 16:26:47",00:12:25,15,11,4,0,0,0,0
31,40.00,40.00,-1.00,-40.00,"2020-06-01 16:29:22","2020-06-01 16:41:47",00:12:25,15,11,4,0,0,0,0
32,45.00,45.00,-1.00,-45.00,"2020-06-01 16:44:23","2020-06-01 16:58:28",00:14:05,15,12,3,0,0,0,0
33,50.00,50.00,-1.00,-50.00,"2020-06-01 17:00:12","2020-06-01 17:12:37",00:12:25,15,12,3,0,0,0,0
34,1.00,5.00,-5.00,-5.00,"2020-06-01 17:15:10","2020-06-01 17:29:34",00:14:24,15,12,3,0,0,0,0
35,1.00,10.00,-10.00,-10.00,"2020-06-01 17:31:18","2020-06-01 17:43:44",00:12:26,15,11,4,0,0,0,0
36,1.00,15.00,-15.00,-15.00,"2020-06-01 17:45:51","2020-06-01 17:58:17",00:12:26,15,11,4,0,0,0,0
37,1.00,20.00,-20.00,-20.00,"2020-06-01 18:00:53","2020-06-01 18:12:41",00:11:48,15,12,3,0,0,0,0
38,1.00,25.00,-25.00,-25.00,"2020-06-01 18:15:17","2020-06-01 18:27:43",00:12:26,15,11,4,0,0,0,0
39,1.00,30.00,-30.00,-30.00,"2020-06-01 18:30:17","2020-06-01 18:41:53",00:11:36,15,12,3,0,0,0,0
40,1.00,35.00,-35.00,-35.00,"2020-06-01 18:44:23","2020-06-01 18:58:51",00:14:28,15,12,3,0,0,0,0
41,1.00,40.00,-40.00,-40.00,"2020-06-01 19:00:30","2020-06-01 19:12:56",00:12:26,15,11,4,0,0,0,0
42,1.00,45.00,-45.00,-45.00,"2020-06-01 19:15:02","2020-06-01 19:29:34",00:14:32,15,12,3,0,0,0,0
43,1.00,50.00,-50.00,-50.00,"2020-06-01 19:31:24","2020-06-01 19:42:59",00:11:35,15,12,3,0,0,0,0
44,5.00,5.00,-5.00,-5.00,"2020-06-01 19:45:30","2020-06-01 19:59:50",00:14:20,15,12,3,0,0,0,0
45,10.00,10.00,-10.00,-10.00,"2020-06-01 20:01:32","2020-06-01 20:13:09",00:11:37,15,12,3,0,0,0,0
46,15.00,15.00,-15.00,-15.00,"2020-06-01 20:16:18","2020-06-01 20:27:56",00:11:38,15,12,3,0,0,0,0
47,20.00,20.00,-20.00,-20.00,"2020-06-01 20:30:16","2020-06-01 20:42:05",00:11:49,15,12,3,0,0,0,0
48,25.00,25.00,-25.00,-25.00,"2020-06-01 20:44:37","2020-06-01 20:56:13",00:11:36,15,12,3,0,0,0,0
49,30.00,30.00,-30.00,-30.00,"2020-06-01 20:58:35","2020-06-01 21:11:01",00:12:26,15,11,4,0,0,0,0
50,35.00,35.00,-35.00,-35.00,"2020-06-01 21:13:07","2020-06-01 21:25:33",00:12:26,15,11,4,0,0,0,0
51,40.00,40.00,-40.00,-40.00,"2020-06-01 21:27:40","2020-06-01 21:39:16",00:11:36,15,12,3,0,0,0,0
52,45.00,45.00,-45.00,-45.00,"2020-06-01 21:41:38","2020-06-01 21:54:03",00:12:25,15,11,4,0,0,0,0
53,50.00,50.00,-50.00,-50.00,"2020-06-01 21:56:08","2020-06-01 22:07:57",00:11:49,15,12,3,0,0,0,0
