task_id,task_type,start_time,target_id,robot_id,priority,cur_status,dependency,finish_time,description
1,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 09:05:59",Succeeded
2,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 09:05:59",Succeeded
3,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 09:05:59",Succeeded
4,ExecuteTask,"2020-06-01 09:06:44",21,1,2,RanToCompletion,0,"2020-06-01 09:09:02",Succeeded
5,ExecuteTask,"2020-06-01 09:07:29",22,3,2,RanToCompletion,0,"2020-06-01 09:08:18",Succeeded
6,ExecuteTask,"2020-06-01 09:08:14",23,2,2,RanToCompletion,0,"2020-06-01 09:09:53",Succeeded
7,ExecuteTask,"2020-06-01 09:08:59",24,3,2,RanToCompletion,0,"2020-06-01 09:10:43",Succeeded
8,ExecuteTask,"2020-06-01 09:09:44",25,1,2,RanToCompletion,0,"2020-06-01 09:12:02",Succeeded
9,ExecuteTask,"2020-06-01 09:10:29",26,2,2,RanToCompletion,0,"2020-06-01 09:13:28",Succeeded
10,ExecuteTask,"2020-06-01 09:11:14",27,3,2,RanToCompletion,0,"2020-06-01 09:13:23",Succeeded
11,ExecuteTask,"2020-06-01 09:11:59",28,NULL,2,Created,0,NULL,NULL
12,ExecuteTask,"2020-06-01 09:12:44",29,1,2,RanToCompletion,0,"2020-06-01 09:14:52",Succeeded
13,ExecuteTask,"2020-06-01 09:13:29",30,3,2,RanToCompletion,0,"2020-06-01 09:15:02",Succeeded
14,ExecuteTask,"2020-06-01 09:14:14",21,2,2,RanToCompletion,0,"2020-06-01 09:17:18",Succeeded
15,ExecuteTask,"2020-06-01 09:14:59",22,1,2,RanToCompletion,0,"2020-06-01 09:17:37",Succeeded
16,ExecuteTask,"2020-06-01 09:15:44",23,3,2,RanToCompletion,0,"2020-06-01 09:17:25",Succeeded
17,ExecuteTask,"2020-06-01 09:16:29",24,NULL,2,Created,0,NULL,NULL
18,ExecuteTask,"2020-06-01 09:17:14",25,NULL,2,Created,0,NULL,NULL
19,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 09:20:08",Succeeded
20,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 09:20:08",Succeeded
21,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 09:20:07",Succeeded
22,ExecuteTask,"2020-06-01 09:20:53",21,3,2,RanToCompletion,0,"2020-06-01 09:21:52",Succeeded
23,ExecuteTask,"2020-06-01 09:21:38",22,1,2,RanToCompletion,0,"2020-06-01 09:23:45",Succeeded
24,ExecuteTask,"2020-06-01 09:22:23",23,2,2,RanToCompletion,0,"2020-06-01 09:24:02",Succeeded
25,ExecuteTask,"2020-06-01 09:23:08",24,3,2,RanToCompletion,0,"2020-06-01 09:25:02",Succeeded
26,ExecuteTask,"2020-06-01 09:23:53",25,1,2,RanToCompletion,0,"2020-06-01 09:26:02",Succeeded
27,ExecuteTask,"2020-06-01 09:24:38",26,2,2,RanToCompletion,0,"2020-06-01 09:27:37",Succeeded
28,ExecuteTask,"2020-06-01 09:25:23",27,3,2,RanToCompletion,0,"2020-06-01 09:27:32",Succeeded
29,ExecuteTask,"2020-06-01 09:26:08",28,1,2,RanToCompletion,0,"2020-06-01 09:28:28",Succeeded
30,ExecuteTask,"2020-06-01 09:26:53",29,NULL,2,Created,0,NULL,NULL
31,ExecuteTask,"2020-06-01 09:27:38",30,3,2,RanToCompletion,0,"2020-06-01 09:29:11",Succeeded
32,ExecuteTask,"2020-06-01 09:28:23",21,2,2,RanToCompletion,0,"2020-06-01 09:31:29",Succeeded
33,ExecuteTask,"2020-06-01 09:29:08",22,1,2,RanToCompletion,0,"2020-06-01 09:31:57",Succeeded
34,ExecuteTask,"2020-06-01 09:29:53",23,3,2,RanToCompletion,0,"2020-06-01 09:31:33",Succeeded
35,ExecuteTask,"2020-06-01 09:30:38",24,NULL,2,Created,0,NULL,NULL
36,ExecuteTask,"2020-06-01 09:31:23",25,NULL,2,Created,0,NULL,NULL
37,Charging,NULL,18,1,5,RanToCompletion,NULL,"2020-06-01 09:34:28",Succeeded
38,Charging,NULL,19,2,5,RanToCompletion,NULL,"2020-06-01 09:34:28",Succeeded
39,Charging,NULL,20,3,5,RanToCompletion,NULL,"2020-06-01 09:34:29",Succeeded
40,ExecuteTask,"2020-06-01 09:35:13",21,2,2,RanToCompletion,0,"2020-06-01 09:36:59",Succeeded
41,ExecuteTask,"2020-06-01 09:35:58",22,1,2,RanToCompletion,0,"2020-06-01 09:38:06",Succeeded
42,ExecuteTask,"2020-06-01 09:36:43",23,3,2,RanToCompletion,0,"2020-06-01 09:37:36",Succeeded
43,ExecuteTask,"2020-06-01 09:37:28",24,2,2,RanToCompletion,0,"2020-06-01 09:39:22",Succeeded
44,ExecuteTask,"2020-06-01 09:38:13",25,3,2,RanToCompletion,0,"2020-06-01 09:40:27",Succeeded
45,ExecuteTask,"2020-06-01 09:38:58",26,1,2,RanToCompletion,0,"2020-06-01 09:41:53",Succeeded
46,ExecuteTask,"2020-06-01 09:39:43",27,2,2,RanToCompletion,0,"2020-06-01 09:41:52",Succeeded
47,ExecuteTask,"2020-06-01 09:40:28",28,NULL,2,Created,0,NULL,NULL
48,ExecuteTask,"2020-06-01 09:41:13",29,3,2,RanToCompletion,0,"2020-06-01 09:43:20",Succeeded
49,ExecuteTask,"2020-06-01 09:41:58",30,2,2,RanToCompletion,0,"2020-06-01 09:43:31",Succeeded
50,ExecuteTask,"2020-06-01 09:42:43",21,1,2,RanToCompletion,0,"2020-06-01 09:45:47",Succeeded
51,ExecuteTask,"2020-06-01 09:43:28",22,3,2,RanToCompletion,0,"2020-06-01 09:46:05",Succeeded
52,ExecuteTask,"2020-06-01 09:44:13",23,2,2,RanToCompletion,0,"2020-06-01 09:45:54",Succeeded
